Listing extensions (default action, see --help).
Looking for the newly published extensions in registry.quarkus.io
Current Quarkus extensions installable: 

✬ ArtifactId                                         Extension                                                    Version                   Guide
✬ camel-quarkus-knative-consumer                     Camel Knative Consumer                                       3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/knative-consumer.html
✬ camel-quarkus-knative-producer                     Camel Knative Producer                                       3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/knative-producer.html
✬ camel-quarkus-kotlin                               Camel Kotlin                                                 3.15.1                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/kotlin.html
✬ camel-quarkus-kotlin-dsl                           Camel Kotlin DSL                                             3.15.1                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/kotlin-dsl.html
✬ camel-quarkus-kubernetes                           Camel Kubernetes                                             3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/kubernetes.html
✬ camel-quarkus-kubernetes-cluster-service           Camel Kubernetes Cluster Service                             3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/kubernetes-cluster-service.html
✬ camel-quarkus-kudu                                 Camel Kudu                                                   3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/kudu.html
✬ camel-quarkus-langchain4j                          Camel langChain4j                                            3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/langchain4j.html
✬ camel-quarkus-langchain4j-chat                     Camel langChain4j Chat                                       3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/langchain4j-chat.html
✬ camel-quarkus-language                             Camel Language                                               3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/language.html
✬ camel-quarkus-ldap                                 Camel LDAP                                                   3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/ldap.html
✬ camel-quarkus-leveldb                              Camel LevelDB                                                3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/leveldb.html
✬ camel-quarkus-log                                  Camel Log                                                    3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/log.html
✬ camel-quarkus-lra                                  Camel LRA                                                    3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/lra.html
✬ camel-quarkus-lumberjack                           Camel Lumberjack                                             3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/lumberjack.html
✬ camel-quarkus-lzf                                  Camel LZF Deflate Compression                                3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/lzf.html
✬ camel-quarkus-mail                                 Camel Mail                                                   3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/mail.html
✬ camel-quarkus-management                           Camel Management                                             3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/management.html
✬ camel-quarkus-mapstruct                            Camel MapStruct                                              3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/mapstruct.html
✬ camel-quarkus-master                               Camel Master                                                 3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/master.html
✬ camel-quarkus-micrometer                           Camel Micrometer                                             3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/micrometer.html
✬ camel-quarkus-microprofile-fault-tolerance         Camel Microprofile Fault Tolerance                           3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/microprofile-fault-tolerance.html
✬ camel-quarkus-microprofile-health                  Camel MicroProfile Health                                    3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/microprofile-health.html
✬ camel-quarkus-minio                                Camel Minio                                                  3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/minio.html
✬ camel-quarkus-mllp                                 Camel MLLP                                                   3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/mllp.html
✬ camel-quarkus-mock                                 Camel Mock                                                   3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/mock.html
✬ camel-quarkus-mongodb                              Camel MongoDB                                                3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/mongodb.html
✬ camel-quarkus-mongodb-gridfs                       Camel MongoDB GridFS                                         3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/mongodb-gridfs.html
✬ camel-quarkus-mustache                             Camel Mustache                                               3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/mustache.html
✬ camel-quarkus-mybatis                              Camel MyBatis                                                3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/mybatis.html
✬ camel-quarkus-nats                                 Camel Nats                                                   3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/nats.html
✬ camel-quarkus-netty                                Camel Netty                                                  3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/netty.html
✬ camel-quarkus-netty-http                           Camel Netty HTTP                                             3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/netty-http.html
✬ camel-quarkus-nitrite                              Camel Nitrite                                                3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/nitrite.html
✬ camel-quarkus-oaipmh                               Camel OAI-PMH                                                3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/oaipmh.html
✬ camel-quarkus-ognl                                 Camel OGNL                                                   3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/ognl.html
✬ camel-quarkus-olingo4                              Camel Olingo4                                                3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/olingo4.html
✬ camel-quarkus-openapi-java                         Camel OpenAPI Java                                           3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/openapi-java.html
✬ camel-quarkus-openstack                            Camel OpenStack                                              3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/openstack.html
✬ camel-quarkus-opentelemetry                        Camel OpenTelemetry                                          3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/opentelemetry.html
✬ camel-quarkus-optaplanner                          Camel OptaPlanner                                            3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/optaplanner.html
✬ camel-quarkus-paho                                 Camel Paho                                                   3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/paho.html
✬ camel-quarkus-paho-mqtt5                           Camel Paho MQTT5                                             3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/paho-mqtt5.html
✬ camel-quarkus-pdf                                  Camel PDF                                                    3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/pdf.html
✬ camel-quarkus-pg-replication-slot                  Camel PostgresSQL Replication Slot                           3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/pg-replication-slot.html
✬ camel-quarkus-pgevent                              Camel PostgresSQL Event                                      3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/pgevent.html
✬ camel-quarkus-pinecone                             Camel Pinecone                                               3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/pinecone.html
✬ camel-quarkus-platform-http                        Camel Platform HTTP                                          3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/platform-http.html
